IP,ORIGIN,CERT_DOMAIN,CERT_ISSUER,GEO_CODE
47.79.95.142,47.79.95.142,xn--cksr0aw0dr1f8n8a1xm.com,"ZeroSSL",N/A
47.79.95.110,47.79.95.110,okxex.net,"Let's Encrypt",N/A
47.79.95.107,47.79.95.107,photo.zyxweb.cn,"Let's Encrypt",N/A
47.79.95.103,47.79.95.103,47.79.95.103,"Unizeto Technologies S.A.",N/A
47.79.95.83,47.79.95.83,www.melotope-piano.com,"Let's Encrypt",N/A
47.79.95.62,47.79.95.62,web2.iak47.cc,"Let's Encrypt",N/A
47.79.95.45,47.79.95.45,irislucas2021.xyz,"Let's Encrypt",N/A
47.79.95.39,47.79.95.39,502ys.top,"Let's Encrypt",N/A
47.79.95.120,47.79.95.120,yahoo.com,"DigiCert Inc",N/A
47.79.95.25,47.79.95.25,jp.inbay.live,"Let's Encrypt",N/A
47.79.94.251,47.79.94.251,*.aframe.work,"Let's Encrypt",N/A
47.79.95.9,47.79.95.9,1.2.3.4,"3",N/A
47.79.94.227,47.79.94.227,47.79.94.227,"SSL Corporation",N/A
47.79.94.209,47.79.94.209,tycp.xyz,"Let's Encrypt",N/A
47.79.94.207,47.79.94.207,car.52jp.jp,"Let's Encrypt",N/A
47.79.94.205,47.79.94.205,www.iris56.xyz,"DigiCert Inc",N/A
47.79.94.172,47.79.94.172,262626.space,"Let's Encrypt",N/A
47.79.94.166,47.79.94.166,bit.yt321.top,"Let's Encrypt",N/A
47.79.94.165,47.79.94.165,vr-housing.com,"Let's Encrypt",N/A
47.79.94.164,47.79.94.164,47.79.94.164,"SSL Corporation",N/A
47.79.94.163,47.79.94.163,dev.hack4gsb.com,"Let's Encrypt",N/A
47.79.94.158,47.79.94.158,47.79.94.158,"ZeroSSL",N/A
47.79.94.156,47.79.94.156,localhost,"FIT2CLOUD",N/A
47.79.94.146,47.79.94.146,47.79.94.146,"SSL Corporation",N/A
47.79.94.143,47.79.94.143,000666.best,"Let's Encrypt",N/A
47.79.94.141,47.79.94.141,47.79.94.141,"SSL Corporation",N/A
47.79.94.140,47.79.94.140,*.monlt.top,"Let's Encrypt",N/A
47.79.94.135,47.79.94.135,151.241.5.106,"MyCompany",N/A
47.79.94.131,47.79.94.131,cc.gosu.cc,"Let's Encrypt",N/A
